student_id,role,username,password,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor,risk_level
1,student,student_1,student_1,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,rather satisfied,often,important,less than 1 hour,personal motivation,low
2,student,student_2,student_2,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,technical sciences,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,important,less than 1 hour,financial situation,low
3,student,student_3,student_3,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation,low
4,student,student_4,student_4,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,less than 6 hours,high,no,full support,rarely,high,rather satisfied,often,important,2–8 hours,personal motivation,low
5,student,student_5,student_5,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,sometimes,moderately important,2–8 hours,family support,low
6,student,student_6,student_6,male,20-21,phd,7m06105 computer science and engineering,2 year,below 2.7,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,often,average,rather dissatisfied,never,slightly important,less than 1 hour,stress level,high
7,student,student_7,student_7,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,often,low,rather dissatisfied,never,slightly important,less than 1 hour,interest in the subject,high
8,student,student_8,student_8,male,20-21,master,7m06105 computer science and engineering,2 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",partial support,often,low,not satisfied at all,never,slightly important,do not prepare,interest in the subject,high
9,student,student_9,student_9,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,low,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject,high
10,student,student_10,student_10,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,interest in the subject,high
32,student,student_32,student_32,male,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,more than 10 hours,average,no,full support,sometimes,average,hard to say,rarely,important,2–8 hours,quality of teaching,medium
33,student,student_33,student_33,female,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,rarely,slightly important,do not prepare,financial situation,medium
34,student,student_34,student_34,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,rarely,low,not satisfied at all,never,not important,do not prepare,financial situation,medium
35,student,student_35,student_35,male,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject,medium
