student_id,role,username,password,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
1,student,student_1,student_1,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,rather satisfied,often,important,less than 1 hour,personal motivation
2,student,student_2,student_2,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,technical sciences,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,important,less than 1 hour,financial situation
3,student,student_3,student_3,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
4,student,student_4,student_4,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,less than 6 hours,high,no,full support,rarely,high,rather satisfied,often,important,2–8 hours,personal motivation
5,student,student_5,student_5,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,sometimes,moderately important,2–8 hours,family support
6,student,student_6,student_6,male,20-21,phd,7m06105 computer science and engineering,2 year,below 2.7,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,often,average,rather dissatisfied,never,slightly important,less than 1 hour,stress level
7,student,student_7,student_7,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,often,low,rather dissatisfied,never,slightly important,less than 1 hour,interest in the subject
8,student,student_8,student_8,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",partial support,often,low,not satisfied at all,never,slightly important,do not prepare,interest in the subject
9,student,student_9,student_9,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,low,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject
10,student,student_10,student_10,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,interest in the subject
11,student,student_11,student_11,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,amount of self-study
12,student,student_12,student_12,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,humanities,more than 4 hours,more than 10 hours,high,no,full support,often,high,rather satisfied,often,important,9–15 hours,family support
13,student,student_13,student_13,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,average,no,partial support,sometimes,high,rather satisfied,rarely,slightly important,2–8 hours,personal motivation
14,student,student_14,student_14,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,high,rather satisfied,never,moderately important,2–8 hours,financial situation
15,student,student_15,student_15,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,less than 1 hour,7-9 hours,high,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
