student_id,role,username,password,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
1,student,student_1,student_1,female,18-19,bachelor,6b03201 digital journalism,1 year,above 3.5,90-100%,humanities,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,very high,hard to say,often,very important,5–10 hours,personal motivation
2,student,student_2,student_2,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,7-9 hours,high,no,full support,sometimes,very high,rather satisfied,sometimes,very important,less than 5 hours,personal motivation
3,student,student_3,student_3,female,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,7-9 hours,average,"yes, part-time",full support,often,very high,rather satisfied,sometimes,very important,less than 5 hours,personal motivation
4,student,student_4,student_4,male,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,70-79%,technical sciences,1-3 hours,less than 6 hours,average,no,partial support,never,high,hard to say,rarely,very important,less than 5 hours,interest in the subject
5,student,student_5,student_5,female,18-19,bachelor,6b03201 digital journalism,1 year,2.0-2.7,90-100%,humanities,1-3 hours,7-9 hours,high,no,full support,very often,average,rather dissatisfied,often,very important,less than 5 hours,quality of teaching
6,student,student_6,student_6,male,16-17,bachelor,6b06105 media technologies,1 year,2.0-2.7,70-79%,humanities,less than 1 hour,less than 6 hours,average,no,full support,sometimes,low,hard to say,rarely,moderately important,less than 5 hours,personal motivation
7,student,student_7,student_7,female,16-17,bachelor,6b03201 digital journalism,1 year,2.0-2.7,90-100%,humanities,1-3 hours,less than 6 hours,high,no,full support,often,high,rather satisfied,often,very important,less than 5 hours,interest in the subject
8,student,student_8,student_8,female,18-19,bachelor,6b03201 digital journalism,1 year,2.0-2.7,90-100%,humanities,1-3 hours,7-9 hours,average,no,full support,often,very high,rather satisfied,sometimes,very important,5–10 hours,amount of self-study
9,student,student_9,student_9,female,16-17,bachelor,6b03201 digital journalism,1 year,2.0-2.7,90-100%,humanities,more than 4 hours,less than 6 hours,average,"yes, full-time",full support,often,average,hard to say,rarely,very important,5–10 hours,stress level
10,student,student_10,student_10,female,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,70-79%,humanities,1-3 hours,7-9 hours,average,"yes, part-time",partial support,often,average,hard to say,sometimes,important,more than 20 hours,amount of self-study
11,student,student_11,student_11,female,18-19,bachelor,6b03201 digital journalism,1 year,above 3.5,90-100%,humanities,1-3 hours,7-9 hours,very high,no,full support,rarely,very high,rather satisfied,sometimes,very important,more than 20 hours,personal motivation
12,student,student_12,student_12,female,18-19,bachelor,6b03201 digital journalism,1 year,2.0-2.7,90-100%,humanities,less than 1 hour,less than 6 hours,very low,no,partial support,often,high,rather satisfied,often,very important,less than 5 hours,quality of teaching
13,student,student_13,student_13,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,7-9 hours,average,no,full support,sometimes,high,rather satisfied,often,important,11–20 hours,interest in the subject
14,student,student_14,student_14,female,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,less than 6 hours,average,no,full support,very often,average,rather satisfied,often,important,less than 5 hours,personal motivation
15,student,student_15,student_15,male,18-19,master,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,less than 1 hour,7-9 hours,high,"yes, part-time",full support,often,average,rather satisfied,rarely,very important,less than 5 hours,personal motivation
16,student,student_16,student_16,male,18-19,bachelor,6b04102 it entrepreneurship,1 year,2.8-3.4,90-100%,humanities,1-3 hours,7-9 hours,high,no,partial support,sometimes,high,rather satisfied,sometimes,important,11–20 hours,interest in the subject
17,student,student_17,student_17,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,80-89%,humanities,less than 1 hour,7-9 hours,average,no,partial support,rarely,very high,fully satisfied,never,moderately important,less than 5 hours,personal motivation
18,student,student_18,student_18,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,80-89%,computer sciences,1-3 hours,less than 6 hours,low,no,full support,often,average,hard to say,often,moderately important,less than 5 hours,quality of teaching
19,student,student_19,student_19,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,less than 6 hours,average,"yes, part-time",full support,often,high,rather satisfied,sometimes,important,5–10 hours,family support
20,student,student_20,student_20,female,16-17,bachelor,6b03201 digital journalism,1 year,above 3.5,90-100%,humanities,1-3 hours,7-9 hours,low,no,full support,very often,high,hard to say,often,important,5–10 hours,amount of self-study
21,student,student_21,student_21,female,16-17,bachelor,6b06102 software engineering,1 year,above 3.5,90-100%,technical sciences,less than 1 hour,less than 6 hours,average,no,no financial support,very often,very low,hard to say,often,very important,less than 5 hours,financial situation
22,student,student_22,student_22,female,18-19,bachelor,6b03201 digital journalism,1 year,above 3.5,90-100%,humanities,1-3 hours,less than 6 hours,average,no,full support,very often,high,hard to say,sometimes,important,5–10 hours,amount of self-study
23,student,student_23,student_23,female,16-17,bachelor,6b03201 digital journalism,1 year,above 3.5,80-89%,humanities,more than 4 hours,7-9 hours,average,no,full support,often,high,fully satisfied,often,very important,5–10 hours,amount of self-study
24,student,student_24,student_24,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,80-89%,humanities,more than 4 hours,7-9 hours,average,"yes, part-time",full support,very often,very high,fully satisfied,often,very important,less than 5 hours,personal motivation
25,student,student_25,student_25,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,80-89%,humanities,more than 4 hours,less than 6 hours,average,no,full support,very often,very high,fully satisfied,sometimes,very important,less than 5 hours,personal motivation
26,student,student_26,student_26,male,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,80-89%,humanities,more than 4 hours,less than 6 hours,high,no,full support,rarely,high,rather satisfied,very often,very important,less than 5 hours,amount of self-study
27,student,student_27,student_27,male,18-19,master,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,7-9 hours,high,"yes, part-time",full support,sometimes,average,fully satisfied,sometimes,important,less than 5 hours,personal motivation
28,student,student_28,student_28,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,50-69%,humanities,1-3 hours,7-9 hours,low,no,full support,often,average,hard to say,rarely,important,less than 5 hours,personal motivation
29,student,student_29,student_29,female,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,70-79%,humanities,1-3 hours,less than 6 hours,average,no,full support,sometimes,high,rather satisfied,rarely,important,less than 5 hours,interest in the subject
30,student,student_30,student_30,female,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,80-89%,humanities,1-3 hours,7-9 hours,low,no,full support,often,average,hard to say,rarely,important,less than 5 hours,amount of self-study
31,student,student_31,student_31,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,90-100%,humanities,1-3 hours,less than 6 hours,high,"yes, part-time",full support,sometimes,high,rather satisfied,very often,important,less than 5 hours,interest in the subject
32,student,student_32,student_32,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,more than 4 hours,less than 6 hours,high,no,full support,very often,average,rather satisfied,often,very important,less than 5 hours,personal motivation
33,student,student_33,student_33,male,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,80-89%,technical sciences,less than 1 hour,7-9 hours,average,no,full support,sometimes,low,rather satisfied,rarely,important,less than 5 hours,stress level
34,student,student_34,student_34,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,average,fully satisfied,often,important,5–10 hours,personal motivation
35,student,student_35,student_35,male,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,less than 1 hour,7-9 hours,average,no,full support,often,average,hard to say,sometimes,important,less than 5 hours,family support
36,student,student_36,student_36,male,16-17,bachelor,6b06105 media technologies,1 year,2.0-2.7,90-100%,computer sciences,less than 1 hour,7-9 hours,average,no,full support,sometimes,high,rather satisfied,rarely,moderately important,less than 5 hours,family support
37,student,student_37,student_37,female,16-17,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather satisfied,often,moderately important,less than 5 hours,personal motivation
38,student,student_38,student_38,female,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,often,important,less than 5 hours,personal motivation
39,student,student_39,student_39,female,16-17,bachelor,7м06107 media technologies,1 year,2.8-3.4,90-100%,technical sciences,less than 1 hour,less than 6 hours,average,no,partial support,rarely,low,rather satisfied,rarely,moderately important,less than 5 hours,personal motivation
